numPNsPerKC,numPNKCsynapsesPerKC,meanWPerKC,PNDistToPedPerKC,numAPLKCsynapsesPerKC,KCindex,bodyId,subtype
11,182,16.5454545454545,62.953689453125,21,444,661395129,KCg-m_R
4,94,23.5,56.818060546875,16,445,661399477,KCg-m_R
6,76,12.6666666666667,60.1119381510417,10,446,661407917,KCa'b'-m_R
6,135,22.5,43.2937395833333,24,447,661408056,KCg-m_R
4,81,20.25,62.3564033203125,16,448,661408094,KCab-m_R
8,206,25.75,65.6457431640625,32,449,661421129,KCg-m_R
8,144,18,66.073724609375,25,450,661430106,KCg-m_R
7,111,15.8571428571429,65.4015044642857,29,451,661430179,KCg-m_R
8,132,16.5,82.5130541992187,25,452,661740651,KCg-m_R
10,173,17.3,63.21892890625,27,453,661757811,KCg-m_R
7,121,17.2857142857143,60.4131266741071,15,454,661766416,KCg-m_R
5,109,21.8,69.912171875,21,455,662081640,KCg-m_R
9,156,17.3333333333333,77.5239388020834,27,456,662081902,KCg-m_R
9,200,22.2222222222222,49.56257421875,26,457,662085486,KCg-m_R
8,193,24.125,81.3578706054687,35,458,662094168,KCg-m_R
4,44,11,75.32764453125,14,459,662103124,KCab-c_R
7,140,20,74.3747918526786,22,460,662107551,KCg-m_R
7,128,18.2857142857143,65.0720652901786,21,461,662107593,KCg-m_R
8,76,9.5,59.0143940429688,5,462,662409505,KCa'b'-m_R
4,63,15.75,48.19299609375,8,463,662409582,KCa'b'-ap2_R
4,47,11.75,66.7502607421875,14,464,662414157,KCab-c_R
5,133,26.6,46.81712734375,22,465,662418320,KCg-m_R
6,131,21.8333333333333,74.0682897135417,29,466,662452625,KCg-m_R
8,152,19,75.1337963867188,23,467,662461539,KCg-m_R
5,99,19.8,53.816325,7,468,662728826,KCab-m_R
6,102,17,54.3107213541667,17,469,662754991,KCg-m_R
5,138,27.6,45.579155078125,26,470,662763626,KCg-m_R
4,50,12.5,67.2001494140625,18,471,662763904,KCg-m_R
6,173,28.8333333333333,62.2796692708333,28,472,662767770,KCg-m_R
5,85,17,61.67431875,9,473,662772373,KCab-m_R
8,215,26.875,67.20114453125,24,474,662772393,KCg-m_R
5,95,19,92.0584205729167,8,475,662789529,KCab-s_R
9,155,17.2222222222222,57.2027955729167,16,476,662802782,KCg-m_R
10,178,17.8,68.148392578125,27,477,662806818,KCg-m_R
3,70,23.3333333333333,50.8900325520833,20,478,663091787,KCg-m_R
8,140,17.5,74.345640625,22,480,663134970,KCg-m_R
10,164,16.4,69.926857421875,31,481,663493162,KCg-m_R
10,168,16.8,54.2888966796875,23,482,663834152,KCg-m_R
5,123,24.6,72.521990625,22,483,664141134,KCg-m_R
6,92,15.3333333333333,50.5857472098214,20,484,664184060,KCg-m_R
9,155,17.2222222222222,48.9576939453125,22,485,664187932,KCg-m_R
6,134,22.3333333333333,61.6897407226563,20,486,664188056,KCg-m_R
4,110,27.5,44.94032578125,20,487,664188083,KCg-m_R
8,139,17.375,63.2662729492187,13,488,664188108,KCg-m_R
8,151,18.875,54.7790864257812,17,489,664188129,KCg-m_R
9,148,16.4444444444444,72.3894631076389,31,490,664188211,KCg-m_R
8,63,7.875,50.0265625,9,492,673029543,KCa'b'-m_R
6,62,10.3333333333333,83.17561328125,13,493,673366263,KCa'b'-ap2_R
5,32,6.4,52.590162109375,6,494,673370525,KCa'b'-m_R
5,80,16,54.12915546875,8,495,673715784,KCab-m_R
5,96,19.2,51.5970671875,14,496,674056647,KCab-m_R
6,69,11.5,54.2266888020833,8,497,674056882,KCab-m_R
5,74,14.8,53.60380703125,13,498,674393414,KCa'b'-ap2_R
5,86,17.2,54.0445125,7,499,674398014,KCab-m_R
3,36,12,63.6096510416667,7,500,674738872,KCa'b'-ap2_R
5,79,15.8,62.3122078125,10,501,691760950,KCab-m_R
7,143,20.4285714285714,61.5059068080357,20,502,692093440,KCg-m_R
6,67,11.1666666666667,78.3665825892857,9,503,692110379,KCab-s_R
9,159,17.6666666666667,64.2748441840278,26,504,692119287,KCg-m_R
6,158,26.3333333333333,61.63423046875,22,505,692430198,KCg-m_R
7,178,25.4285714285714,57.54158984375,23,506,692434135,KCg-m_R
13,182,14,83.0984134615385,29,508,692810011,KCg-m_R
7,100,14.2857142857143,71.0418130580357,22,509,692818786,KCg-m_R
10,124,12.4,50.2703987926136,22,510,692818802,KCg-m_R
3,81,27,46.73897265625,14,511,693099031,KCg-m_R
5,76,15.2,64.5186609375,10,512,693099064,KCab-m_R
1,47,47,46.71798828125,14,513,693099102,KCg-m_R
5,34,6.8,61.9453059895833,10,514,693116396,KCab-c_R
5,146,29.2,59.85742421875,18,515,693133603,KCg-m_R
6,73,12.1666666666667,73.5521361607143,12,516,693159855,KCab-s_R
3,34,11.3333333333333,68.383015625,14,517,693448777,KCab-c_R
3,90,30,67.4816822916667,20,518,693453332,KCab-c_R
6,135,22.5,83.3298216145833,26,519,693500431,KCg-m_R
9,187,20.7777777777778,96.6090442708334,22,520,693500652,KCg-m_R
5,108,21.6,45.0347047526042,28,521,693785371,KCg-m_R
4,73,18.25,69.8287255859375,6,522,693785633,KCab-m_R
6,141,23.5,57.204158203125,22,523,693837780,KCg-m_R
8,145,18.125,64.67063671875,23,524,693841887,KCg-m_R
5,78,15.6,93.2514,10,525,693841929,KCab-s_R
7,128,18.2857142857143,64.4913211495536,21,526,693846112,KCg-m_R
9,136,15.1111111111111,62.717421875,16,527,694524222,KCg-m_R
6,125,20.8333333333333,90.2729967447917,10,529,704409742,KCab-s_R
4,99,24.75,66.7949541015625,8,530,704742082,KCa'b'-m_R
6,93,15.5,76.6312115885417,9,533,704750475,KCab-s_R
5,86,17.2,52.16528125,5,534,704750665,KCab-m_R
4,110,27.5,56.644638671875,15,535,704750673,KCab-m_R
4,101,25.25,44.24871875,13,536,704750742,KCab-s_R
8,116,14.5,55.4918850097656,15,537,704750766,KCab-m_R
3,56,18.6666666666667,61.2526901041667,6,538,704750842,KCab-m_R
3,42,14,60.4157213541667,5,539,704759205,KCa'b'-ap2_R
2,54,27,40.794314453125,10,540,705082892,KCa'b'-m_R
4,77,19.25,56.71837109375,4,541,705091521,KCab-m_R
5,31,6.2,65.84741875,6,542,705091769,KCab-c_R
